"Date of Download: 2023-05-12_15:01:49"
"Search Parameters: Data Level:all  Trait List:  Trial List:10542,10795  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139257","CG1141-1","","plot","4825537","202224BCEAR_cere_rep1_CG1141-1_1","1","1","1","1","1","check","","","","2.3","1.9","0","1","38.6960317460317","39.3","160","22.1230158730159","11.15","1","4","1","15","6.4","10","20","3","160","40","5","3","2","3","2","","2950","367","28","19","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139257","CG1141-1","","plot","4825565","202224BCEAR_cere_rep1_CG1141-1_25","1","1","25","7","1","check","","","","","","0","1","37.9174091441969","","140","25","12.6","1","5","1","15","6.6","8","20","2","140","40","6","3","1","2","1","","4850","585","37","20","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139268","CM4919-1","","plot","4825529","202224BCEAR_cere_rep1_CM4919-1_24","1","1","24","6","1","check","","3.3","4.4","3.8","2.1","0","1","38.1076100628931","38.3","160","26.6865079365079","13.45","1","5","1","15","8.9","6","20","2","160","50","6","3","1","2","3","","4525","550","16","20","1","3","1","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139299","COL2215","","plot","4825573","202224BCEAR_cere_rep1_COL2215_22","1","1","22","6","3","check","","","","","","5","1","37.0808239010266","","80","29.0674603174603","14.65","1","5","1","14","9.9","6","20","3","340","20","6","3","1","1","3","","4300","501","23","20","2","3","2","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139299","COL2215","","plot","4825543","202224BCEAR_cere_rep1_COL2215_8","1","1","8","2","1","check","","","","","","4","1","40.2093705293276","","70","23.4126984126984","11.8","1","5","1","10","6.2","8","20","3","160","5","5","3","2","3","3","","4025","530","22","18","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2169244","GM10299-1","","plot","4825571","202224BCEAR_cere_rep1_GM10299-1_34","1","1","34","9","2","test","","1.6","2.5","16.2","12.2","2","1","27.7008250825082","31.3","120","29.0674603174603","14.65","1","5","1","12","7.1","12","20","4","330","40","4","3","1","1","1","","4875","330","33","12","3","3","1","8"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2250603","GM11213-2","","plot","4825607","202224BCEAR_cere_rep1_GM11213-2_2","1","1","2","1","2","test","","","","15.5","9.1","1","1","35.2785797438882","37.1","110","14.6825396825397","7.4","1","5","1","7","4.5","10","20","1","290","40","2","3","2","3","2","","3850","414","13","9","1","1","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2250627","GM11319-3","","plot","4825580","202224BCEAR_cere_rep1_GM11319-3_4","1","1","4","1","4","test","","3.3","5.5","19.9","10.6","0","1","33.0482115792664","38.1","240","22.8174603174603","11.5","1","4","1","13","6","8","20","2","240","40","6","2","1","2","2","","3650","351","30","18","2","3","3","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2250636","GM11365-2","","plot","4825547","202224BCEAR_cere_rep1_GM11365-2_6","1","1","6","2","3","test","","2.5","3.3","13.6","6.9","3","1","30.6502366552722","33","80","25.0992063492064","12.65","1","5","1","16","7","6","20","3","320","40","6","3","1","2","1","","4150","347","29","20","1","3","1","8"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2250637","GM11365-3","","plot","4825528","202224BCEAR_cere_rep1_GM11365-3_17","1","1","17","5","1","test","","0.9","1.2","12.6","7.8","3","1","34.066228748068","31.2","100","13.8888888888889","7","1","3","1","14","5.3","6","20","2","290","30","3","3","1","2","2","","3600","365","14","15","1","3","2","8"," (Operator: lizbethpino, Time: )"
