plot_name	accession_name
202255BCEAR_stom_rep1_CM4919-1_4	CM4919-1
202255BCEAR_stom_rep1_GM3426-5_5	GM3426-5
202255BCEAR_stom_rep1_GM3426-5_7	GM3426-5
202255BCEAR_stom_rep1_SMB2446-2_9	SMB2446-2
202255BCEAR_stom_rep1_COL2215_12	COL2215
202255BCEAR_stom_rep1_CG1141-1_14	CG1141-1
202255BCEAR_stom_rep1_TAI8_20	TAI8
202255BCEAR_stom_rep1_CG1141-1_22	CG1141-1
202255BCEAR_stom_rep1_COL2215_32	COL2215
202255BCEAR_stom_rep2_CG1141-1_35	CG1141-1
202255BCEAR_stom_rep2_CM4919-1_36	CM4919-1
202255BCEAR_stom_rep2_GM3426-5_38	GM3426-5
202255BCEAR_stom_rep2_COL2215_45	COL2215
202255BCEAR_stom_rep2_CG1141-1_48	CG1141-1
202255BCEAR_stom_rep2_TAI8_51	TAI8
202255BCEAR_stom_rep2_SMB2446-2_55	SMB2446-2
202255BCEAR_stom_rep2_COL2215_58	COL2215
202255BCEAR_stom_rep2_GM3426-5_59	GM3426-5
202255BCEAR_stom_rep3_SMB2446-2_71	SMB2446-2
202255BCEAR_stom_rep3_CG1141-1_72	CG1141-1
202255BCEAR_stom_rep3_GM3426-5_79	GM3426-5
202255BCEAR_stom_rep3_COL2215_81	COL2215
202255BCEAR_stom_rep3_COL2215_83	COL2215
202255BCEAR_stom_rep3_TAI8_84	TAI8
202255BCEAR_stom_rep3_CG1141-1_88	CG1141-1
202255BCEAR_stom_rep3_CM4919-1_93	CM4919-1
202255BCEAR_stom_rep3_GM3426-5_96	GM3426-5

